# SUPERSEDED 1 Aug 2026 by golden_example_SIVANTO_400_SL_analyst_paste.txt,
# which the analyst designated authoritative. Retained, not deleted: Tasks 34-45
# and the entire run history were graded against this file, and that record has
# to stay readable for the corrections to make sense.
#
# DO NOT grade a run against this file. Where the two disagree — App. Timing
# (other), App. Equipment casing, plant-house and soil Site Status, use-name
# casing and crop-group codes — the paste wins.
#
# NOTE: this file has the SAME 24 columns as the paste. It does NOT contain
# App Rate (lb ai/A), REI or PPE either, so it cannot serve as the source for
# those three. See Task 46.
Reg. #/ File Sym	Physical Form.	Product Name (PBN)	Use	Use Site	App. Target	App. Type	App. Equipment	App. Timing (Site Status)	App. Timing (other)	A.I. Max Single Rate / App. (lb a.i./A)	Max # Apps / C.C.	A. I. Max Total Rate / C.C. (lb a.i./A)	Max # Apps / Yr.	A. I. Max Total Rate / Yr. (lb a.i./A)	MRI (days)	PHI (days)	Additional Information	Max No. of CC/yr	Geographic Restrictions	Drift Restrictions	Soil Restrictions	On-field Non-target Species Restrictions	Additional Restrictions for Use/Use Site
264-1198	SL	SIVANTO® 400 SL	SORGHUM (Including production for seed)	Agricultural (Outdoor)	Soil	Injection, In-furrow spray, Chemigation, Side-dress	Injection below the eventual seed row prior to planting; In-furrow spray during planting; Chemigation into root-zone; Subsurface or Surface side-dress	Pre-emergence/ At-planting/ Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	45	Injection: Place SIVANTO 400 SL 3 - 4 inches below seed-line.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed-line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	STONE FRUITS (Crop Group 12-12)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	10	14	For best results, combine with a horticultural oil for pre-bloom applications targeting San Jose scale.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	STONE FRUITS (Crop Group 12-12)	Agricultural (Outdoor)	Soil	Chemigation, Drench, Shank	Chemigation into root-zone; Post-transplant drench; Shank or subsurface side-dress	Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	30	Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a minimum of 10 gallons per acre using multiple shanks on both sides of trees.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Ensure product placement is below sod or orchard floor debris.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TARO LEAVES	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	1.095	7	1	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TARO LEAVES	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ Post-emergence	when pests occur	0.365	1	0.365	3	1.095	NS	21	Injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TREE NUTS (Crop Group 14-12) - EXCEPT ALMOND	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	14	7	Minimum Application Volume: 25 Gallons/Acre (Ground); 10 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TREE NUTS (Crop Group 14-12) - EXCEPT ALMOND	Agricultural (Outdoor)	Soil	Chemigation, Drench, Shank	Chemigation into root-zone; At-transplant drench; Post-transplant drench; Shank or subsurface side-dress	Pre-emergence/ Post-emergence	When pests occur	0.365	1	0.365	1	0.365	NS	30	Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a minimum of 10 gallons per acre using multiple shanks on both sides of trees.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	Ensure product placement is below sod or orchard floor debris.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TROPICAL AND SUBTROPICAL...FRUIT (Crop Subgroup 24B)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7 (Pomegranate); 14 (Other)	0 (Pomegranate); 1 (Other)	Minimum Application Volume: 25 Gallons/Acre (Ground); 10 Gallons/Acre (Aerial)	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TUBEROUS AND CORM VEGETABLES (Crop Subgroup 1C)	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	0.365	7	7	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial). For optimum control of potato psyllid, use of MSO adjuvant or similar is recommended.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TUBEROUS AND CORM VEGETABLES (Crop Subgroup 1C)	Agricultural (Outdoor)	Soil	Injection, Drench, In-furrow spray, Chemigation	Injection below seed row; Drench at transplanting; In-furrow spray during planting; Chemigation into root-zone; Post-transplant drench	Pre-emergence/ At-planting/ Post-emergence	Prior to stem emergence	0.365	1	0.365	1	0.365	NS	NS	Application for all listed pests should be made early crop season.	1	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed-line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TURNIP GREENS	Agricultural (Outdoor)	Foliar	Broadcast	Ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment	Post-emergence	When pests are first detected	0.183	NS	0.365	NS	1.095	7	1	Minimum Application Volume: 10 Gallons/Acre (Ground); 3 Gallons/Acre (Aerial)	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Max Release Height (ft): 10, ASABE Droplet Size: Coarse	Not Applicable	Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198	SL	SIVANTO® 400 SL	TURNIP GREENS	Agricultural (Outdoor)	Soil	Chemigation, Injection, In-furrow spray, Drench	Chemigation low-pressure drip, trickle, micro-sprinkler, injection for planting, potting hole drench or post-transplant drench	Pre-emergence/ At-planting/ Post-emergence	When pests occur	0.365	1	0.365	3	1.095	NS	21	Injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	3	NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)	Not Applicable	For injection: Place SIVANTO 400 SL 3 - 4 inches below seed line.	Not Applicable	DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
